"","tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner1_id","winner2_id","winner_entry","loser1_id","loser2_id","loser_entry","score","best_of","round","winner1_name","winner1_hand","winner1_ioc","winner1_age","winner2_name","winner2_hand","winner2_ioc","winner2_age","loser1_name","loser1_hand","loser1_ioc","loser1_age","loser2_name","loser2_hand","loser2_ioc","loser2_age","winner1_rank","winner1_rank_points","winner2_rank","winner2_rank_points","loser1_rank","loser1_rank_points","loser2_rank","loser2_rank_points","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","w_1st_Per","l_1st_Per","w_first_won_per","l_first_won_per","w_per_pair_mean_age","l_per_pair_mean_age","w_age_diff","l_age_diff"
"21","2019-0451","Doha","Hard",32,"A",2018-12-31,264,104898,104235,"",104216,111797,"","6-2 6-4",3,"QF","Robin Haase","R","NED",31.73716632,"Matwe Middelkoop","R","NED",35.32648871,"Maximo Gonzalez","R","ARG",35.44969199,"Nicolas Jarry","R","CHI",23.22245038,38,2100,36,2160,43,1776,50,1515,3,1,48,35,26,10,9,1,1,1,2,50,32,20,9,9,4,7,72.9166666666667,64,74.2857142857143,62.5,33.531827515,29.336071185,3.58932239,12.22724161
"22","2019-0451","Doha","Hard",32,"A",2018-12-31,262,106000,105583,"",103594,106207,"","6-4 1-6 (10-7)",3,"R32","Damir Dzumhur","R","BIH",26.6146475,"Dusan Lajovic","R","SRB",28.50376454,"Oliver Marach","R","AUT",38.45859001,"Mate Pavic","L","CRO",25.49212868,148,495,240,225,4,7250,3,7250,0,0,56,42,27,9,8,9,11,5,2,53,34,29,9,9,0,1,75,64.1509433962264,64.2857142857143,85.2941176470588,27.55920602,31.975359345,1.88911704,12.96646133
"23","2019-0451","Doha","Hard",32,"A",2018-12-31,261,105831,104925,"WC",117356,122570,"WC","6-3 3-6 (10-6)",3,"R32","Marko Djokovic","R","SRB",27.36481862,"Novak Djokovic","R","SRB",31.61122519,"Cem Ilkel","R","TUR",23.36208077,"Mubarak Shannan Zayid","U","QAT",23.71526352,607,15,268,180,323,116,24,2790,5,4,60,40,31,10,9,2,3,2,0,53,36,29,7,9,0,1,66.6666666666667,67.9245283018868,77.5,80.5555555555556,29.488021905,23.538672145,4.24640657,0.353182750000002
"24","2019-0451","Doha","Hard",32,"A",2018-12-31,260,105254,103580,"",105657,104486,"","6-4 7-6(4)",3,"R32","Nikola Mektic","R","CRO",30.01779603,"Alexander Peya","R","AUT",38.51060917,"Marius Copil","R","ROU",28.20533881,"Horia Tecau","R","ROU",33.94661191,13,4400,17,4045,544,25,27,2700,2,1,66,49,38,9,11,3,3,9,1,72,47,34,10,11,6,7,74.2424242424242,65.2777777777778,77.5510204081633,72.3404255319149,34.2642026,31.07597536,8.49281314,5.7412731
"25","2019-0451","Doha","Hard",32,"A",2018-12-31,259,105676,105732,"",111575,104527,"","7-5 6-3",3,"R32","David Goffin","R","BEL",28.06570842,"Pierre Hugues Herbert","R","FRA",27.78918549,"Karen Khachanov","R","RUS",22.61190965,"Stanislas Wawrinka","R","SUI",33.76043806,354,90,12,4440,112,735,57,1517,3,0,57,39,31,10,11,5,6,5,1,55,38,28,5,10,2,5,68.4210526315789,69.0909090909091,79.4871794871795,73.6842105263158,27.927446955,28.186173855,0.276522929999999,11.14852841
"26","2019-0451","Doha","Hard",32,"A",2018-12-31,258,104216,111797,"",105077,104269,"","6-3 6-4",3,"R32","Maximo Gonzalez","R","ARG",35.44969199,"Nicolas Jarry","R","CHI",23.22245038,"Albert Ramos","L","ESP",30.954141,"Fernando Verdasco","L","ESP",35.1266256,43,1776,50,1515,277,180,80,1065,1,1,57,42,28,12,10,8,8,3,0,51,41,27,6,9,4,6,73.6842105263158,80.3921568627451,66.6666666666667,65.8536585365854,29.336071185,33.0403833,12.22724161,4.1724846
"27","2019-0451","Doha","Hard",32,"A",2018-12-31,257,104898,104235,"",104693,105015,"","3-6 6-3 (10-7)",3,"R32","Robin Haase","R","NED",31.73716632,"Matwe Middelkoop","R","NED",35.32648871,"Dominic Inglot","R","GBR",32.82135524,"Franco Skugor","R","CRO",31.27994524,38,2100,36,2160,20,3200,28,2665,1,0,62,43,29,11,9,4,5,6,3,59,35,25,15,9,3,4,69.3548387096774,59.3220338983051,67.4418604651163,71.4285714285714,33.531827515,32.05065024,3.58932239,1.54141
"28","2019-0451","Doha","Hard",32,"A",2018-12-31,256,104136,103529,"",106065,104312,"","6-3 6-2",3,"R32","Santiago Gonzalez","R","MEX",35.84941821,"Aisam Ul Haq Qureshi","R","PAK",38.78986995,"Marco Cecchinato","R","ITA",26.25051335,"Andreas Seppi","R","ITA",34.85831622,53,1470,47,1605,206,265,213,285,6,1,47,31,28,8,9,3,3,2,0,42,31,18,5,8,4,7,65.9574468085106,73.8095238095238,90.3225806451613,58.0645161290323,37.31964408,30.554414785,2.94045174,8.60780287
"29","2019-0451","Doha","Hard",32,"A",2018-12-31,255,105916,105550,"",104679,103946,"","6-3 6-4",3,"R32","Marton Fucsovics","R","HUN",26.89390828,"Guido Pella","L","ARG",28.62422998,"Jamie Murray","L","GBR",32.8788501,"Bruno Soares","R","BRA",36.84052019,241,225,136,565,7,5450,7,5450,0,0,51,36,26,10,9,7,7,0,0,48,34,23,10,10,0,3,70.5882352941177,70.8333333333333,72.2222222222222,67.6470588235294,27.75906913,34.859685145,1.7303217,3.96167009
"30","2019-0891","Pune","Hard",32,"A",2018-12-31,269,103523,104690,"",106382,110779,"","6-3 6-4",3,"F","Rohan Bopanna","R","IND",38.82546201,"Divij Sharan","L","IND",32.83230664,"Luke Bambridge","R","GBR",23.94250513,"Jonny Omara","R","GBR",23.8329911,37,2115,39,2060,56,1417,62,1309,3,1,53,37,29,9,10,1,2,2,2,50,27,17,13,9,1,4,69.811320754717,54,78.3783783783784,62.962962962963,35.828884325,23.887748115,5.99315537,0.10951403
